2026-07-22 16:12:09.580 [restartedMain] WARN  o.s.b.w.s.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Unable to start web server
2026-07-22 16:22:15.923 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-07-22 16:22:25.183 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-07-22 16:22:25.479 [restartedMain] WARN  o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-07-22 16:22:51.395 [http-nio-8080-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [project_backend.exception.ConflictException: Username đã tồn tại]
2026-07-22 16:23:06.810 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [project_backend.exception.ConflictException: Email đã tồn tại]
2026-07-22 16:24:45.378 [http-nio-8080-exec-9] WARN  o.h.v.i.m.aggregated.CascadingMetaDataBuilder - HV000271: Using `@Valid` on a container (java.util.List) is deprecated. You should apply the annotation on the type argument(s). Affected element: questions
2026-07-22 16:24:45.449 [http-nio-8080-exec-9] WARN  o.h.v.i.m.aggregated.CascadingMetaDataBuilder - HV000271: Using `@Valid` on a container (java.util.List) is deprecated. You should apply the annotation on the type argument(s). Affected element: answers
2026-07-22 16:27:20.267 [http-nio-8080-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<project_backend.model.dto.response.ApiDataResponse<project_backend.model.dto.response.FeedbackResponse>> project_backend.controller.FeedbackController.createFeedback(project_backend.model.dto.request.CreateFeedbackRequest,org.springframework.security.core.Authentication): [Field error in object 'createFeedbackRequest' on field 'senderName': rejected value [null]; codes [NotBlank.createFeedbackRequest.senderName,NotBlank.senderName,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [createFeedbackRequest.senderName,senderName]; arguments []; default message [senderName]]; default message [Họ tên người gửi không được để trống]] ]
2026-07-22 16:27:36.529 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<project_backend.model.dto.response.ApiDataResponse<project_backend.model.dto.response.FeedbackResponse>> project_backend.controller.FeedbackController.createFeedback(project_backend.model.dto.request.CreateFeedbackRequest,org.springframework.security.core.Authentication): [Field error in object 'createFeedbackRequest' on field 'senderName': rejected value [null]; codes [NotBlank.createFeedbackRequest.senderName,NotBlank.senderName,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [createFeedbackRequest.senderName,senderName]; arguments []; default message [senderName]]; default message [Họ tên người gửi không được để trống]] ]
2026-07-22 16:30:37.826 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [project_backend.exception.NotFoundException: Không tìm thấy người dùng với id: 1]
